AFR_T,LFR_T,BFR_T,D5_T,D10_T,D50_T,D90_T,AFR_V1,LFR_V1,BFR_V1,D5_V1,D10_V1,D50_V1,D90_V1,AFR_V2,LFR_V2,BFR_V2,D5_V2,D10_V2,D50_V2,D90_V2,AFR_V3,LFR_V3,BFR_V3,D5_V3,D10_V3,D50_V3,D90_V3
4.0831647,18.37424,6.1247473,8.740786,12.705121,50.385296,768.43604,3.0623736,12.249495,3.0623736,8.444318,11.794479,45.215904,746.8477,3.0623736,14.291077,6.1247473,9.059831,13.674588,57.304127,782.97217,4.59356,18.37424,2.0415823,8.044769,10.5625725,38.441532,669.698
4.0418115,18.188152,6.062717,8.740479,12.704185,50.3793,768.4184,3.0313585,12.125434,3.0313585,8.444102,11.793815,45.21234,746.82654,3.0313585,14.146339,6.062717,9.059421,13.673347,57.29402,782.9571,4.547038,18.188152,2.0209057,8.044673,10.562283,38.439857,669.65485
4,18,6,8.740226,12.70341,50.37434,768.4038,3,12,3,8.443924,11.793264,45.209393,746.809,3,14,6,9.059081,13.672323,57.28568,782.94464,4.5,18,2,8.044593,10.562042,38.438473,669.6191
3.9581885,17.81185,5.937283,8.74003,12.70281,50.370506,768.3925,2.9686415,11.874566,2.9686415,8.443787,11.792838,45.207108,746.7955,2.9686415,13.85366,5.937283,9.058819,13.671531,57.27923,782.93506,4.4529624,17.81185,1.9790943,8.044531,10.561855,38.437393,669.5913
3.9168353,17.62576,5.875253,8.739895,12.702397,50.367863,768.38477,2.9376266,11.750506,2.9376266,8.443691,11.792543,45.20553,746.78613,2.9376266,13.708924,5.875253,9.05864,13.670987,57.2748,782.9284,4.40644,17.62576,1.9584177,8.044487,10.561726,38.43664,669.57196
3.8763928,17.44377,5.81459,8.739824,12.702182,50.366478,768.38074,2.907295,11.62918,2.907295,8.443641,11.792388,45.204697,746.7812,2.907295,13.567376,5.81459,9.058545,13.670704,57.2725,782.925,4.3609424,17.44377,1.9381964,8.044464,10.561655,38.436237,669.56165
3.837305,17.267874,5.755958,8.7398205,12.70217,50.36641,768.38055,2.877979,11.511916,2.877979,8.443638,11.792378,45.204643,746.78094,2.877979,13.430569,5.755958,9.058542,13.670694,57.272415,782.9249,4.3169684,17.267874,1.9186527,8.044461,10.561648,38.4362,669.5607
3.7999997,17.1,5.7000003,8.739886,12.702372,50.3677,768.3844,2.8500001,11.400001,2.8500001,8.443683,11.792519,45.20539,746.78546,2.8500001,13.3,5.7000003,9.058632,13.670965,57.274628,782.9283,4.275,17.1,1.9,8.044481,10.561707,38.436535,669.56946
3.7648861,16.941986,5.647329,8.740023,12.702789,50.37037,768.39233,2.8236644,11.294658,2.8236644,8.443778,11.792811,45.206963,746.79486,2.8236644,13.1771,5.647329,9.058817,13.671524,57.279175,782.9351,4.235497,16.941986,1.8824431,8.044522,10.5618305,38.437252,669.58813
3.732348,16.795567,5.5985217,8.740231,12.703424,50.374435,768.40436,2.7992609,11.197043,2.7992609,8.443923,11.793259,45.209362,746.8092,2.7992609,13.063217,5.5985217,9.059097,13.672372,57.28608,782.9455,4.198891,16.795567,1.866174,8.044586,10.562022,38.438354,669.61676
3.702742,16.66234,5.554113,8.74051,12.704277,50.37989,768.4205,2.7770565,11.108226,2.7770565,8.444117,11.793859,45.21258,746.8284,2.7770565,12.959598,5.554113,9.059473,13.673508,57.295326,782.95935,4.165585,16.66234,1.851371,8.044672,10.56228,38.439842,669.6553
